name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season
Beck (Beck: Mongolian Chop Squad),57,26,Finished Airing,"Oct 7, 2004",Madhouse,Manga,R - 17+ (violence & profanity),8.32,"Mar 31, 2005",2004,Fall
Blue Gender,58,26,Finished Airing,"Oct 8, 1999",AIC,Original,R+ - Mild Nudity,7.06,"Mar 31, 2000",1999,Fall
Chobits,59,26,Finished Airing,"Apr 3, 2002",Madhouse,Manga,PG-13 - Teens 13 or older,7.44,"Sep 25, 2002",2002,Spring
Chrno Crusade (Chrono Crusade),60,24,Finished Airing,"Nov 25, 2003",Gonzo,Manga,R - 17+ (violence & profanity),7.67,"Jun 10, 2004",2003,Fall
D.N.Angel,61,26,Finished Airing,"Apr 3, 2003",Xebec,Manga,PG-13 - Teens 13 or older,7.21,"Sep 25, 2003",2003,Spring
D.C.: Da Capo (D.C.~Da Capo~),62,26,Finished Airing,"Jul 5, 2003",Zexcs,Visual novel,PG-13 - Teens 13 or older,6.78,"Dec 27, 2003",2003,Summer
DearS,63,12,Finished Airing,"Jul 11, 2004",Daume,Manga,R+ - Mild Nudity,6.63,"Sep 26, 2004",2004,Summer
Rozen Maiden,64,12,Finished Airing,"Oct 8, 2004",Nomad,Manga,PG-13 - Teens 13 or older,7.45,"Dec 24, 2004",2004,Fall
Rozen Maiden: Träumend,65,12,Finished Airing,"Oct 21, 2005",Nomad,Manga,PG-13 - Teens 13 or older,7.66,"Jan 27, 2006",2005,Fall
Azumanga Daioh (Azumanga Daioh: The Animation),66,26,Finished Airing,"Apr 9, 2002",J.C.Staff,4-koma manga,PG-13 - Teens 13 or older,7.98,"Oct 1, 2002",2002,Spring
Basilisk: Kouga Ninpou Chou (Basilisk),67,24,Finished Airing,"Apr 13, 2005",Gonzo,Manga,R - 17+ (violence & profanity),7.59,"Sep 21, 2005",2005,Spring
Black Cat (TV) (Black Cat),68,23,Finished Airing,"Oct 7, 2005",Gonzo,Manga,PG-13 - Teens 13 or older,7.39,"Mar 31, 2006",2005,Fall
Cluster Edge,69,25,Finished Airing,"Oct 5, 2005",Sunrise,Original,PG-13 - Teens 13 or older,6.36,"Mar 29, 2006",2005,Fall
Full Metal Panic!,71,24,Finished Airing,"Jan 8, 2002",Gonzo,Light novel,R - 17+ (violence & profanity),7.66,"Jun 18, 2002",2002,Winter
Full Metal Panic? Fumoffu,72,12,Finished Airing,"Aug 26, 2003",Kyoto Animation,Light novel,PG-13 - Teens 13 or older,8.08,"Oct 18, 2003",2003,Summer
Full Metal Panic! The Second Raid,73,13,Finished Airing,"Jul 14, 2005",Kyoto Animation,Light novel,R - 17+ (violence & profanity),7.97,"Oct 20, 2005",2005,Summer
Gakuen Alice,74,26,Finished Airing,"Oct 30, 2004",Group TAC,Manga,G - All Ages,7.66,"May 14, 2005",2004,Fall
Soukyuu no Fafner: Dead Aggressor (Fafner of the Blue Sky),75,25,Finished Airing,"Jul 5, 2004",Xebec,Original,PG-13 - Teens 13 or older,7.3,"Dec 27, 2004",2004,Summer
Mahou Shoujo Lyrical Nanoha (Magical Girl Lyrical Nanoha),76,13,Finished Airing,"Oct 3, 2004",Seven Arcs,Original,PG-13 - Teens 13 or older,7.43,"Dec 26, 2004",2004,Fall
Mahou Shoujo Lyrical Nanoha A's (Magical Girl Lyrical Nanoha A's),77,13,Finished Airing,"Oct 2, 2005",Seven Arcs,Original,PG-13 - Teens 13 or older,8.0,"Dec 25, 2005",2005,Fall
