name,id,episodes,status,aired,studio,source,rating,score,finished airing,year,season 
Higepiyo,5983,39,Finished Airing,"Apr 3, 2009",Kinema Citrus,Original,PG - Children,7.13,"Feb 19, 2010",2009,Spring
Ristorante Paradiso,5984,11,Finished Airing,"Apr 9, 2009",David Production,Manga,PG-13 - Teens 13 or older,7.37,"Jun 25, 2009",2009,Spring
Tengai Makyou: Jiraiya Oboro-hen,5986,2,Finished Airing,"Jul 27, 1990",TMS Entertainment,Unknown,G - All Ages,,"Aug 24, 1990",1990,Summer
Marin to Yamato: Fushigi na Nichiyoubi,5987,1,Finished Airing,"Dec 2, 2000",,Original,G - All Ages,,,2000,Fall
Cosmic Fantasy: Ginga Mehyou no Wana,5990,1,Finished Airing,"Aug 25, 1994",,Game,PG-13 - Teens 13 or older,5.57,,1994,Summer
Tsuyoshi Shikkari Shinasai,5992,112,Finished Airing,"Oct 4, 1992",,Manga,PG-13 - Teens 13 or older,6.86,"Dec 25, 1994",1992,Fall
Samayou Midara na Lunatics,5993,2,Finished Airing,"Jan 24, 2009",,Visual novel,Rx - Hentai,6.38,"Dec 19, 2009",2009,Winter
Midoriyama Koukou Koushien-hen,5994,10,Finished Airing,"Sep 25, 1989",,Unknown,PG-13 - Teens 13 or older,,"Dec 16, 1990",1989,Summer
Tennis no Ouji-sama: Oshougatsu Special,5996,1,Finished Airing,"Mar 7, 2003",Production I.G,Manga,PG-13 - Teens 13 or older,6.88,,2003,Winter
Sabu to Ichi Torimono Hikae (Sabu & Ichi's Arrest Warrant),5997,52,Finished Airing,"Oct 3, 1968",Toei Animation,Manga,R - 17+ (violence & profanity),6.4,"Sep 24, 1969",1968,Fall
Hottarake no Shima: Haruka to Mahou no Kagami,5998,1,Finished Airing,"Aug 22, 2009",Polygon Pictures,Original,G - All Ages,7.41,,2009,Summer
Haruwo,6000,1,Finished Airing,"May 5, 2005",,Original,PG-13 - Teens 13 or older,4.84,,2005,Spring
Ookami to Koushinryou II: Ookami to Kohakuiro no Yuuutsu,6007,1,Finished Airing,"Apr 30, 2009",Marvy Jack,Light novel,PG-13 - Teens 13 or older,7.91,,2009,Spring
Jewelpet,6008,52,Finished Airing,"Apr 5, 2009",Studio Comet,Original,PG - Children,6.65,"Mar 28, 2010",2009,Spring
Kinpatsu no Jeanie,6012,13,Finished Airing,"Jul 19, 1979",,Music,G - All Ages,,"Oct 18, 1979",1979,Summer
Megami Tantei Vinus File (Detective Goddess),6015,1,Finished Airing,"May 18, 2003",,Manga,Rx - Hentai,5.38,,2003,Spring
Kyoushoku Soukou Guyver (1989) (The Guyver: Bio-Booster Armor),6016,6,Finished Airing,"Sep 25, 1989",,Manga,PG-13 - Teens 13 or older,7.12,"Feb 25, 1990",1989,Summer
Patchin shite! Obaachan,6018,1,Finished Airing,"Mar 10, 1992",,Unknown,G - All Ages,,,1992,Winter
Nogizaka Haruka no Himitsu: Purezza,6023,12,Finished Airing,"Oct 6, 2009",Diomedea,Light novel,PG-13 - Teens 13 or older,7.2,"Dec 22, 2009",2009,Fall
Chi's Sweet Home: Atarashii Ouchi (Chi's New Address),6024,104,Finished Airing,"Mar 30, 2009",Madhouse,Manga,G - All Ages,7.76,"Sep 24, 2009",2009,Winter
Battle Can² (Battle Can2),6025,1,Finished Airing,"May 25, 1987",,Unknown,Rx - Hentai,4.5,,1987,Spring
Dr. Slump Movie 04: Arale-chan Hoyoyo! Nanaba Shiro no Hihou,6028,1,Finished Airing,"Dec 22, 1984",Toei Animation,Manga,PG-13 - Teens 13 or older,6.38,,1984,Fall
Needless,6030,24,Finished Airing,"Jul 3, 2009",Madhouse,Manga,R - 17+ (violence & profanity),7.29,"Dec 11, 2009",2009,Summer
Osu!! Karate-bu (Go!! Karate Club),6031,4,Finished Airing,"Oct 21, 1990",J.C.Staff,Manga,R - 17+ (violence & profanity),6.73,"Jul 25, 1992",1990,Fall
Aquarion Movie: Ippatsu Gyakuten-hen,6032,1,Finished Airing,"Sep 22, 2007",Satelight,Unknown,PG-13 - Teens 13 or older,6.79,,2007,Summer
Dragon Ball Kai (Dragon Ball Z Kai),6033,97,Finished Airing,"Apr 5, 2009",Toei Animation,Manga,PG-13 - Teens 13 or older,7.75,"Mar 27, 2011",2009,Spring
Transformers Zone (Transformers: Zone),6038,1,Finished Airing,"Jul 21, 1990",,Unknown,PG - Children,5.71,,1990,Summer
Honoo no Haramase Doukyuusei,6041,2,Finished Airing,"Dec 25, 2008",,Visual novel,Rx - Hentai,6.7,"Jun 25, 2009",2008,Fall
Kimi ni Todoke (Kimi ni Todoke: From Me to You),6045,25,Finished Airing,"Oct 7, 2009",Production I.G,Manga,PG-13 - Teens 13 or older,8.03,"Mar 31, 2010",2009,Fall
Tales of Vesperia: The First Strike,6046,1,Finished Airing,"Oct 3, 2009",Production I.G,Game,PG-13 - Teens 13 or older,7.63,,2009,Fall
Mahou Sensei Negima!: Mou Hitotsu no Sekai,6050,4,Finished Airing,"Sep 17, 2009",Shaft,Manga,PG-13 - Teens 13 or older,7.65,"Aug 17, 2010",2009,Summer
F,6055,31,Finished Airing,"Mar 9, 1988",Studio Deen,Manga,PG-13 - Teens 13 or older,6.65,"Dec 23, 1988",1988,Winter
Sasuke,6056,29,Finished Airing,"Sep 3, 1968",,Manga,G - All Ages,6.46,"Mar 25, 1969",1968,Summer
1-gatsu ni wa Christmas (Christmas in January),6060,1,Finished Airing,"Nov 21, 1991",Magic Bus,Manga,G - All Ages,5.69,,1991,Fall
Maryuu Senki,6061,3,Finished Airing,"Mar 5, 1987",AIC,Unknown,R+ - Mild Nudity,5.26,"Jul 25, 1989",1987,Winter
Duel Masters Movie 2: Lunatic God Saga,6062,1,Finished Airing,"Sep 19, 2009",,Original,G - All Ages,6.01,,2009,Summer
Penguin no Mondai Movie,6063,1,Finished Airing,"Sep 19, 2009",,Unknown,G - All Ages,,,2009,Summer
Higurashi no Naku Koro ni Kai Specials,6064,24,Finished Airing,"Sep 21, 2007",Studio Deen,Visual novel,PG-13 - Teens 13 or older,7.27,"Aug 22, 2008",2007,Summer
Lemon Angel YJ-ban,6065,2,Finished Airing,"Jul 6, 1990",Xebec,Manga,R+ - Mild Nudity,,"Aug 3, 1990",1990,Summer
Moeru! Oniisan (The Burning Wild Man),6067,24,Finished Airing,"Mar 14, 1988",Studio Pierrot,Manga,PG-13 - Teens 13 or older,,"Sep 19, 1988",1988,Winter
Sensei no Ojikan: Doki Doki School Hours OVA,6068,7,Finished Airing,"Aug 4, 2004",J.C.Staff,4-koma manga,PG-13 - Teens 13 or older,6.59,"Feb 2, 2005",2004,Summer
Gregory Horror Show,6069,25,Finished Airing,Oct 1999,Milky Cartoon,Original,PG-13 - Teens 13 or older,6.62,"to Jun, 2001",1999,Fall
Juuippiki no Neko (Eleven Cats),6071,1,Finished Airing,"Jul 19, 1980",,Picture book,G - All Ages,5.95,,1980,Summer
Juuippiki no Neko to Ahoudori (Eleven Cats and an Albatross),6072,1,Finished Airing,"Aug 27, 1986",,Picture book,G - All Ages,,,1986,Summer
21 Emon Uchuu e Irasshai!,6073,1,Finished Airing,"Aug 1, 1981",Shin-Ei Animation,Unknown,G - All Ages,,,1981,Summer
21 Emon Uchuu ike! Hadashi no Princess,6074,1,Finished Airing,"Mar 7, 1992",Shin-Ei Animation,Unknown,G - All Ages,6.04,,1992,Winter
Ai no Wakakusa Yama Monogatari,6075,12,Finished Airing,"Aug 1, 1999",Gainax,Manga,G - All Ages,6.06,"Oct 1, 1999",1999,Summer
&quot;Eiji&quot;,6076,1,Finished Airing,"Aug 25, 1990",animate Film,Manga,R - 17+ (violence & profanity),5.76,,1990,Summer
Akubi Girl,6077,26,Finished Airing,"Apr 2, 2006",Tatsunoko Production,Unknown,PG - Children,5.93,"Sep 24, 2006",2006,Spring
Al Caral no Isan (Legacy of Aru Kararu),6078,1,Finished Airing,"Feb 25, 1993",Visual 80,Manga,R+ - Mild Nudity,5.5,,1993,Winter
Jetter Mars,6087,27,Finished Airing,"Feb 3, 1977",Toei Animation,Original,G - All Ages,6.21,"Sep 15, 1977",1977,Winter
Hon Ran (Crimson Wolf),6090,1,Finished Airing,"Jul 7, 1993",,Unknown,R+ - Mild Nudity,5.11,,1993,Summer
Shiritsutantei: Toki Shouzou Trouble Note - Hard & Loose,6091,1,Finished Airing,"Jan 7, 1992",Nippon Animation,Manga,R+ - Mild Nudity,,,1992,Winter
Anmitsu Hime (Princess Anmitsu),6093,51,Finished Airing,"Oct 5, 1986",Studio Pierrot,Manga,G - All Ages,6.26,"Sep 27, 1987",1986,Fall
A Piece of Phantasmagoria,6094,15,Finished Airing,1995,,Unknown,G - All Ages,6.21,,1995,
Azuki-chan the Movie,6095,1,Finished Airing,"Dec 23, 1995",Madhouse,Manga,G - All Ages,6.1,,1995,Fall
Bad Boys,6096,5,Finished Airing,"Sep 25, 1993",Toei Animation,Unknown,R - 17+ (violence & profanity),6.4,"Sep 21, 1995",1993,Summer
Heisei Harenchi Gakuen,6097,1,Finished Airing,"Mar 1, 1996",,Unknown,Rx - Hentai,5.36,,1996,Winter
Sora no Manimani (At The Mercy of The Sky),6098,12,Finished Airing,"Jul 7, 2009",Studio Comet,Manga,PG-13 - Teens 13 or older,7.1,"Sep 22, 2009",2009,Summer
Aruhi no Clamp Gakuen Tanteidan (CLAMP School Detectives Shorts),6107,13,Finished Airing,"Apr 22, 2005",Studio Pierrot,Manga,G - All Ages,6.17,,2005,Spring
Shin Koihime†Musou,6112,12,Finished Airing,"Oct 5, 2009",Doga Kobo,Visual novel,R+ - Mild Nudity,6.85,"Dec 21, 2009",2009,Fall
Rainbow: Nisha Rokubou no Shichinin (Rainbow),6114,26,Finished Airing,"Apr 7, 2010",Madhouse,Manga,R - 17+ (violence & profanity),8.52,"Sep 29, 2010",2010,Spring
Lupin III vs. Detective Conan,6115,1,Finished Airing,"Mar 27, 2009",TMS Entertainment,Unknown,PG-13 - Teens 13 or older,7.8,,2009,Winter
Mainichi Kaasan (Kaasan: Mom's Life),6116,142,Finished Airing,"Apr 1, 2009",,Manga,PG - Children,7.33,"Mar 25, 2012",2009,Spring
Gokujou!! Mecha Mote Iinchou,6117,51,Finished Airing,"Apr 4, 2009",SynergySP,Manga,PG - Children,6.41,"Mar 27, 2010",2009,Spring
Cookin' Idol Ai! Mai! Main!,6119,305,Finished Airing,"Mar 30, 2009",Studio Deen,Original,PG - Children,6.24,"Mar 22, 2013",2009,Winter
Mitama: Nin,6120,2,Finished Airing,"Feb 25, 2009",,Visual novel,Rx - Hentai,5.82,"Sep 25, 2009",2009,Winter
Jinkou Shoujo: Henshin Sex Android (Cosplay Sex Machine),6122,2,Finished Airing,"Feb 13, 2009",,Original,Rx - Hentai,6.69,"May 15, 2009",2009,Winter
Toshishun,6124,1,Finished Airing,"Dec 4, 1981",,Book,PG - Children,,,1981,Fall
Toradora!: SOS! Kuishinbou Banbanzai,6127,4,Finished Airing,"Feb 3, 2009",J.C.Staff,Light novel,PG-13 - Teens 13 or older,6.37,"Aug 26, 2009",2009,Winter
Umi Monogatari: Anata ga Ite Kureta Koto (Umi Monogatari),6129,12,Finished Airing,"Jun 25, 2009",Zexcs,Game,PG-13 - Teens 13 or older,6.65,"Sep 17, 2009",2009,Spring
Marie & Gali,6130,40,Finished Airing,"Mar 31, 2009",Toei Animation,Original,PG-13 - Teens 13 or older,6.29,"Mar 23, 2010",2009,Winter
Charady no Joke na Mainichi,6131,365,Finished Airing,"Apr 1, 2009",,Original,PG-13 - Teens 13 or older,5.37,"Mar 31, 2010",2009,Spring
Violence Gekiga Shin David no Hoshi: Inma Densetsu,6133,1,Finished Airing,"Mar 8, 1991",,Unknown,Rx - Hentai,5.33,,1991,Winter
Tsuki no Waltz,6137,1,Finished Airing,"Oct 1, 2004",Madhouse,Original,G - All Ages,6.49,,2004,Fall
Yurumates,6148,1,Finished Airing,"Apr 24, 2009",,4-koma manga,PG-13 - Teens 13 or older,6.4,,2009,Spring
Chibi Maruko-chan (1995) (Little Miss Maruko),6149,,Currently Airing,"Jan 8, 1995",Nippon Animation,Manga,G - All Ages,7.19,"1995 to, ?",1995,Winter
Shanshan de Hongxing: Hongxing Xiao Yongshi (Sparkling Red Star),6150,1,Finished Airing,"Oct 1, 2007",,Unknown,G - All Ages,,,2007,Fall
Final Fantasy VII: On the Way to a Smile - Episode: Denzel,6151,1,Finished Airing,"Apr 16, 2009",A-1 Pictures,Novel,PG-13 - Teens 13 or older,7.14,,2009,Spring
Final Fantasy VII: Advent Children - Venice Film Festival Footage,6152,1,Finished Airing,"Sep 14, 2005",,Game,PG-13 - Teens 13 or older,7.55,,2005,Summer
Saint Seiya Recap (Saint Seiya: Summary),6153,1,Finished Airing,"Jan 25, 2003",Toei Animation,Unknown,PG-13 - Teens 13 or older,7.16,,2003,Winter
Saint Seiya: Meiou Hades Juuni Kyuu-hen - Yomigaerishi Gold Saint-tachi no Shinwa,6154,2,Finished Airing,2003,Toei Animation,Unknown,PG-13 - Teens 13 or older,7.7,,2003,
Xi Yang Yang Yu Hui Tai Lang: Zhi Niu Qi Chong Tian,6156,1,Finished Airing,"Jan 16, 2009",,Unknown,G - All Ages,,,2009,Winter
Tailenders,6162,1,Finished Airing,"Oct 16, 2009",Picograph,Original,PG-13 - Teens 13 or older,6.75,,2009,Fall
Kuroshitsuji Recap,6163,1,Finished Airing,"Jan 9, 2009",A-1 Pictures,Manga,PG-13 - Teens 13 or older,7.21,,2009,Winter
Aoi Hana (Sweet Blue Flowers),6164,11,Finished Airing,"Jul 2, 2009",J.C.Staff,Manga,PG-13 - Teens 13 or older,7.17,"Sep 10, 2009",2009,Summer
White Album 2nd Season (White Album Season 2),6165,13,Finished Airing,"Oct 3, 2009",Seven Arcs,Visual novel,PG-13 - Teens 13 or older,6.86,"Dec 24, 2009",2009,Fall
Asobi ni Iku yo! (Cat Planet Cuties),6166,12,Finished Airing,"Jul 11, 2010",AIC Plus+,Light novel,R+ - Mild Nudity,6.67,"Sep 26, 2010",2010,Summer
Tenjoubito to Akutobito Saigo no Tatakai,6169,1,Finished Airing,"Apr 18, 2009",Kyoto Animation,Original,PG-13 - Teens 13 or older,7.14,,2009,Spring
Saint Seiya: The Lost Canvas - Meiou Shinwa,6171,13,Finished Airing,"Jun 24, 2009",TMS Entertainment,Manga,PG-13 - Teens 13 or older,8.01,"Apr 21, 2010",2009,Spring
Layton Kyouju to Eien no Utahime,6172,1,Finished Airing,"Dec 19, 2009",P.A. Works,Game,PG - Children,7.63,,2009,Fall
Pokemon Movie 12: Arceus Choukoku no Jikuu e,6178,1,Finished Airing,"Jul 18, 2009",OLM,Game,PG - Children,7.03,,2009,Summer
Highway Jenny,6181,1,Finished Airing,"Sep 27, 2006",Toei Animation,Original,PG-13 - Teens 13 or older,5.29,,2006,Summer
Maihime,6182,1,Finished Airing,"Aug 1, 2006",Toei Animation,Unknown,PG-13 - Teens 13 or older,6.78,,2006,Summer
You Shoumei Bijutsukan Line (Yoh Shomei Art Gallery Line),6183,1,Finished Airing,"Aug 1, 2006",Toei Animation,Unknown,G - All Ages,5.49,,2006,Summer
Makaryuudo Demon Hunter,6184,1,Finished Airing,"Nov 8, 1989",,Unknown,R+ - Mild Nudity,5.41,,1989,Fall
Nodame Cantabile OVA,6187,1,Finished Airing,"Aug 10, 2009",J.C.Staff,Manga,PG-13 - Teens 13 or older,7.48,,2009,Summer
Baton,6189,3,Finished Airing,"Apr 28, 2009",,Unknown,PG-13 - Teens 13 or older,5.81,"Sep 27, 2009",2009,Spring
Stretta The Animation,6194,2,Finished Airing,"May 29, 2009",,Manga,Rx - Hentai,6.94,"Jul 31, 2009",2009,Spring
Detective Conan OVA 08: High School Girl Detective Sonoko Suzuki's Case Files,6198,1,Finished Airing,2008,TMS Entertainment,Manga,PG-13 - Teens 13 or older,7.22,,2008,
Mai-Otome Zwei Special,6199,1,Finished Airing,"Mar 4, 2008",Sunrise,Original,G - All Ages,6.71,,2008,Winter
Princess Lover!,6201,12,Finished Airing,"Jul 6, 2009",GoHands,Visual novel,R+ - Mild Nudity,6.81,"Sep 21, 2009",2009,Summer
Daisetsusan no Yuusha Kibaou (King Fang),6202,1,Finished Airing,"Sep 23, 1978",Nippon Animation,Unknown,PG-13 - Teens 13 or older,6.93,,1978,Summer
Sasameki Koto (Whispered Words),6203,13,Finished Airing,"Oct 8, 2009",AIC,Manga,PG-13 - Teens 13 or older,7.1,"Dec 31, 2009",2009,Fall
Kämpfer,6205,12,Finished Airing,"Oct 2, 2009",Nomad,Light novel,R+ - Mild Nudity,6.48,"Dec 18, 2009",2009,Fall
La Vilaine LuLu,6206,13,Finished Airing,"Apr 4, 2009",,Unknown,None,,"Jun 27, 2009",2009,Spring
Macross 7 Plus,6209,11,Finished Airing,"Jan 25, 1995",Production Reed,Original,G - All Ages,6.77,"Jan 26, 1996",1995,Winter
Tokyo Magnitude 8.0,6211,11,Finished Airing,"Jul 10, 2009",Kinema Citrus,Original,PG-13 - Teens 13 or older,8.07,"Sep 18, 2009",2009,Summer
Toaru Kagaku no Railgun (A Certain Scientific Railgun),6213,24,Finished Airing,"Oct 3, 2009",J.C.Staff,Manga,PG-13 - Teens 13 or older,7.74,"Mar 20, 2010",2009,Fall
Dr.,6215,1,Finished Airing,"Mar 14, 2009",Sunrise,Unknown,G - All Ages,6.12,,2009,Winter
Crayon Shin-chan Movie 03: Unkokusai no Yabou,6217,1,Finished Airing,"Apr 15, 1995",Shin-Ei Animation,Manga,G - All Ages,6.91,,1995,Spring
Nijiiro Hotaru: Eien no Natsuyasumi,6219,1,Finished Airing,"May 19, 2012",Toei Animation,Novel,G - All Ages,7.02,,2012,Spring
Musuko no Tomodachi ni Okasarete (The Cougar Trap),6220,2,Finished Airing,"Mar 13, 2009",Y.O.U.C,Visual novel,Rx - Hentai,6.38,"Jun 12, 2009",2009,Winter
Utawarerumono Recaps,6226,2,Finished Airing,"Nov 22, 2006",OLM,Unknown,PG-13 - Teens 13 or older,6.47,"Dec 21, 2006",2006,Fall
Lovedol: Lovely Idol OVA (Lovedol ~Lovely Idol~),6227,1,Finished Airing,"Mar 28, 2007",,Unknown,PG-13 - Teens 13 or older,6.17,,2007,Winter
Konpeki no Kantai,6229,32,Finished Airing,Dec 1993,J.C.Staff,Unknown,PG-13 - Teens 13 or older,6.38,"to Aug, 2003",1993,Fall
Kyokujitsu no Kantai (The Fleet of the Rising Sun),6230,15,Finished Airing,"Feb 21, 1997",J.C.Staff,Unknown,PG-13 - Teens 13 or older,6.39,"1997 to, 2002",1997,Winter
Detective Conan Magic File 3: Shinichi and Ran - Memories of Mahjong Tiles and Tanabata,6231,1,Finished Airing,"Apr 18, 2009",TMS Entertainment,Unknown,PG-13 - Teens 13 or older,7.45,,2009,Spring
True Tears: Mini Chara 4-koma Gekijou,6234,7,Finished Airing,"Mar 25, 2008",P.A. Works,Original,G - All Ages,6.33,"Sep 26, 2008",2008,Winter
Immoral,6235,2,Finished Airing,"Apr 29, 2005",,Visual novel,Rx - Hentai,6.2,"Aug 26, 2005",2005,Spring
Spirit of Wonder: China-san Tanpenshuu,6245,3,Finished Airing,"Jan 25, 2001",Ajia-Do,Unknown,R+ - Mild Nudity,6.6,"Jan 23, 2004",2001,Winter
Black Jack: Sora kara Kita Kodomo,6246,1,Finished Airing,Mar,,Unknown,PG-13 - Teens 13 or older,6.78,,2000,Winter
Sketchbook: Full Color's Picture Drama,6251,6,Finished Airing,"Jan 25, 2008",Hal Film Maker,4-koma manga,G - All Ages,6.4,"Jun 25, 2008",2008,Winter
Koguma no Misha,6261,26,Finished Airing,"Oct 6, 1979",Nippon Animation,Original,PG - Children,,"Apr 5, 1980",1979,Fall
Manga Sekai Mukashibanashi (Manga Fairy Tales of the World),6262,127,Finished Airing,"Oct 7, 1976",Madhouse,Unknown,G - All Ages,7.02,"Mar 28, 1979",1976,Fall
Joseito (School Girl),6266,1,Finished Airing,"Aug 1, 2006",Toei Animation,Unknown,PG-13 - Teens 13 or older,5.61,,2006,Summer
Eko Eko Azarak,6267,1,Finished Airing,"Jan 30, 2007",Toei Animation,Unknown,None,,,2007,Winter
Sekishoku Elegy,6268,1,Finished Airing,"Jun 29, 2007",Toei Animation,Unknown,None,,,2007,Spring
Neko Machi (Cat City),6270,1,Finished Airing,"Aug 1, 2006",Toei Video,Unknown,None,6.25,,2006,Summer
Gendai Kibunroku Kaii Monogatari,6271,1,Finished Airing,"Aug 1, 2006",Toei Animation,Unknown,None,,,2006,Summer
Zakuro Yashiki,6272,1,Finished Airing,"Aug 1, 2006",Toei Animation,Unknown,None,,,2006,Summer
Tsuyu no Hito Shizuku,6273,1,Finished Airing,"Aug 1, 2006",Toei Animation,Unknown,None,,,2006,Summer
Pokemon Fushigi no Dungeon: Sora no Tankentai - Toki to Yami wo Meguru Saigo no Bouken,6275,1,Finished Airing,"Apr 12, 2009",OLM,Game,PG - Children,6.7,,2009,Spring
Umezu Kazuo no Noroi (The Curse of Kazuo Umezu),6276,1,Finished Airing,"Mar 1, 1990",,Unknown,R - 17+ (violence & profanity),6.15,,1990,Winter
Manga Nippon Mukashibanashi (1976),6277,1471,Finished Airing,"Jan 7, 1976",Group TAC,Unknown,G - All Ages,6.05,"Sep 3, 1994",1976,Winter
Cat Shit One,6280,1,Finished Airing,"Jul 17, 2010",Anima,Manga,R - 17+ (violence & profanity),7.03,,2010,Summer
Asylum Session (The Asylum Session),6281,1,Finished Airing,"Jul 11, 2009",,Original,PG-13 - Teens 13 or older,5.07,,2009,Summer
Anata no Shiranai Kangofu: Seiteki Byoutou 24 Ji,6286,2,Finished Airing,"Mar 23, 2009",,Visual novel,Rx - Hentai,6.1,"Nov 25, 2009",2009,Winter
Akikan!: Kan Ippatsu!? Onsen Panic (Akikan! OVA),6287,1,Finished Airing,"Oct 23, 2009",Brain's Base,Light novel,R+ - Mild Nudity,6.27,,2009,Fall
Mobile Suit Gundam 00 The Movie: A Wakening of the Trailblazer,6288,1,Finished Airing,"Sep 18, 2010",Sunrise,Original,R - 17+ (violence & profanity),7.32,,2010,Summer
Full Metal Panic! The Second Raid Episode 00,6291,1,Finished Airing,"Jul 6, 2005",Kyoto Animation,Light novel,PG-13 - Teens 13 or older,7.42,,2005,Summer
Koukou Butouden Crows (Crows),6293,2,Finished Airing,"Jan 28, 1994",,Manga,R - 17+ (violence & profanity),6.8,"Jun 24, 1994",1994,Winter
Kamen Rider Den-O: Imagin Anime 2,6297,12,Finished Airing,"Nov 22, 2008",,Other,G - All Ages,6.61,,2008,Fall
Maria-sama ga Miteru 4th Specials,6299,11,Finished Airing,"Mar 25, 2009",Studio Deen,Light novel,PG - Children,7.23,"Aug 21, 2009",2009,Winter
Perman,6303,54,Finished Airing,"Apr 2, 1967",,Unknown,PG - Children,6.41,"Apr 14, 1968",1967,Spring
Life no Color,6305,1,Finished Airing,"Jan 25, 2003",,Unknown,G - All Ages,5.58,,2003,Winter
Kinnikuman II Sei: Second Generations,6310,1,Finished Airing,"Jul 14, 2001",Toei Animation,Unknown,PG-13 - Teens 13 or older,6.42,,2001,Summer
Sarutobi Ecchan,6311,26,Finished Airing,"Oct 4, 1971",Toei Animation,Unknown,PG - Children,6.04,"Mar 27, 1972",1971,Fall
Taiho Shichau zo: Full Throttle - Watashitachi no Iru Basho,6312,1,Finished Airing,"Aug 22, 2008",Studio Deen,Manga,PG-13 - Teens 13 or older,7.05,,2008,Summer
Kigurumikku V3,6318,3,Finished Airing,"Apr 5, 2009",,Unknown,PG-13 - Teens 13 or older,5.3,"Jul 16, 2009",2009,Spring
Omamori Himari,6324,12,Finished Airing,"Jan 7, 2010",Zexcs,Manga,R+ - Mild Nudity,6.95,"Mar 25, 2010",2010,Winter
Naruto: Shippuuden Movie 3 - Hi no Ishi wo Tsugu Mono,6325,1,Finished Airing,"Aug 1, 2009",Studio Pierrot,Manga,PG-13 - Teens 13 or older,7.37,,2009,Summer
Miracle Train: Chuo-sen e Youkoso,6327,1,Finished Airing,"Aug 18, 2009",Yumeta Company,Manga,PG-13 - Teens 13 or older,6.02,,2009,Summer
Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi,6328,1,Finished Airing,"Aug 8, 2003",,Visual novel,Rx - Hentai,5.33,,2003,Summer
Shakugan no Shana: Friagne & Marianne no Naze Nani Shana! Nandemo Shitsumonbako!,6330,8,Finished Airing,"Jan 25, 2006",J.C.Staff,Unknown,PG-13 - Teens 13 or older,6.66,"Aug 25, 2006",2006,Winter
Ten Little Gall Force,6331,1,Finished Airing,"Jul 3, 1988",animate Film,Original,R+ - Mild Nudity,6.22,,1988,Summer
Mobile Suit Gundam Unicorn,6336,7,Finished Airing,"Mar 12, 2010",Sunrise,Novel,PG-13 - Teens 13 or older,8.17,"Jun 6, 2014",2010,Winter
Hitoriga The Animation,6337,4,Finished Airing,"Jun 26, 2009",Office Take Off,Manga,Rx - Hentai,6.3,"Sep 22, 2010",2009,Spring
"Shikabane Hime: Kuro – Soredemo, Hito to Shite",6344,1,Finished Airing,"Aug 5, 2009",Gainax,Manga,R - 17+ (violence & profanity),7.01,,2009,Summer
Cherry no Manma,6346,1,Finished Airing,"Oct 14, 1989",,Manga,PG-13 - Teens 13 or older,4.86,,1989,Fall
Baka to Test to Shoukanjuu (Baka & Test - Summon the Beasts),6347,13,Finished Airing,"Jan 7, 2010",Silver Link.,Light novel,PG-13 - Teens 13 or older,7.62,"Apr 1, 2010",2010,Winter
"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",6351,1,Finished Airing,"Jul 1, 2009",Kyoto Animation,Visual novel,PG-13 - Teens 13 or older,7.87,,2009,Summer
Marie & Gali Episode Zero,6355,1,Finished Airing,"Nov 8, 2008",Toei Animation,Original,PG - Children,5.81,,2008,Fall
ef: A Tale of Memories. - Prologue,6361,1,Finished Airing,"Aug 24, 2007",Shaft,Visual novel,PG-13 - Teens 13 or older,7.11,,2007,Summer
Karuizawa Syndrome,6366,1,Finished Airing,"Mar 21, 1986",Kitty Films,Manga,R+ - Mild Nudity,5.83,,1986,Winter
Legend of Regios,6368,3,Finished Airing,"Mar 27, 2009",Zexcs,Unknown,R - 17+ (violence & profanity),6.5,"May 29, 2009",2009,Winter
Higashi no Eden Movie I: The King of Eden,6372,1,Finished Airing,"Nov 28, 2009",Production I.G,Original,PG-13 - Teens 13 or older,7.61,,2009,Fall
Kagaku Ninja-tai Gatchaman II (Eagle Riders),6374,52,Finished Airing,"Oct 1, 1978",Tatsunoko Production,Unknown,PG-13 - Teens 13 or older,6.43,"Sep 30, 1979",1978,Fall
Kagaku Ninja-tai Gatchaman F (Eagle Riders (2)),6375,48,Finished Airing,"Oct 7, 1979",Tatsunoko Production,Unknown,PG-13 - Teens 13 or older,6.34,"Aug 31, 1980",1979,Fall
Zan Sayonara Zetsubou Sensei,6377,13,Finished Airing,"Jul 5, 2009",Shaft,Manga,R - 17+ (violence & profanity),7.91,"Sep 27, 2009",2009,Summer
Kyou no 5 no 2 (TV): Takarabako,6379,1,Finished Airing,"Oct 6, 2009",Xebec,Unknown,PG-13 - Teens 13 or older,7.09,,2009,Fall
Tetsuwan Birdy Decode: The Cipher (Birdy the Mighty: Decode OVA),6380,1,Finished Airing,"Jul 22, 2009",A-1 Pictures,Manga,PG-13 - Teens 13 or older,7.31,,2009,Summer
Strike Witches 2,6381,12,Finished Airing,"Jul 8, 2010",AIC Spirits,Original,R+ - Mild Nudity,7.33,"Sep 23, 2010",2010,Summer
Chargeman Ken!,6383,65,Finished Airing,"Apr 1, 1974",Tama Production,Original,PG - Children,4.84,"Jun 28, 1974",1974,Spring
Ippon Bouchou Mantarou,6384,2,Finished Airing,"Jun 21, 1991",,Unknown,G - All Ages,,"Dec 21, 1991",1991,Spring
